Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Career_Category,technical_strength,soft_skill_strength,leadership_index,experience_index,academic_index
Business,Psychologist,2.908937124666094,3,1,4,0,7,0,2,0,0,0,0,0,0,1,Management,0.6666666666666666,0.0,0,6,9.908937124666094
Marketing,Brand Manager,3.4292719295116205,3,1,2,1,0,0,2,4,2,1,3,4,3,0,Other,2.3333333333333335,3.0,4,3,3.4292719295116205
Marketing,Forensic Psychologist,3.1208573380365614,0,2,1,1,3,1,4,4,4,4,4,0,1,0,Other,4.0,2.6666666666666665,2,4,6.120857338036561
Biology,Software Developer,3.163447673790984,7,2,2,0,0,0,0,2,4,2,4,4,1,0,Research & Science,2.6666666666666665,2.6666666666666665,1,4,3.163447673790984
Engineering,Art Director,3.4618067811067945,8,2,2,1,8,0,3,0,3,3,0,2,0,0,Other,2.0,1.6666666666666667,1,4,11.461806781106795
Biology,Credit Analyst,4.174881989168326,7,2,1,0,5,0,2,2,1,1,4,3,0,1,Research & Science,2.3333333333333335,2.0,0,4,9.174881989168327
Architecture,Architect,4.596018464467825,6,1,2,0,4,0,2,3,3,1,4,1,4,0,Other,3.0,1.6666666666666667,4,3,8.596018464467825
Law,Principal,4.414468924544666,0,0,2,1,1,1,1,0,4,0,4,3,1,0,Public & Legal,3.0,1.0,2,3,5.414468924544666
Business,Urban Planner,2.7856793723113045,4,1,2,0,1,1,4,4,3,2,1,2,0,0,Management,2.6666666666666665,2.6666666666666665,0,4,3.7856793723113045
Finance,Surgeon,3.299030813277454,1,2,1,0,5,1,2,3,1,1,4,1,0,1,Other,2.3333333333333335,1.6666666666666667,0,5,8.299030813277454
Architecture,Counselor,4.657381064015192,9,1,1,1,2,1,1,1,0,4,4,3,4,1,Other,1.6666666666666667,2.6666666666666665,5,4,6.657381064015192
Biology,Physical Chemist,3.573782063633931,0,0,3,0,6,0,3,2,2,4,0,0,4,1,Research & Science,1.6666666666666667,2.0,4,4,9.573782063633931
Education,Architect,3.5423113455321875,4,2,2,1,1,0,0,0,3,1,0,1,0,1,Education,1.0,0.6666666666666666,1,5,4.5423113455321875
Physics,Principal,3.832576361228043,7,1,4,1,5,0,4,4,0,4,2,4,2,1,Research & Science,2.0,4.0,3,6,8.832576361228043
Law,Analytical Chemist,4.017535236746459,4,0,2,1,8,1,2,2,4,3,1,4,0,1,Public & Legal,2.3333333333333335,3.0,1,4,12.01753523674646
Finance,Cybersecurity Analyst,4.442867362751757,4,0,4,0,4,1,1,4,4,3,1,4,4,0,Other,2.0,3.6666666666666665,4,5,8.442867362751757
Medicine,Architect,4.610211307524214,0,2,2,1,7,1,2,0,3,1,0,4,2,1,Healthcare,1.6666666666666667,1.6666666666666667,3,6,11.610211307524214
Education,Clinical Psychologist,4.797793716162213,7,1,4,0,2,1,0,1,0,4,3,2,0,1,Education,1.0,2.3333333333333335,0,7,6.797793716162213
Biology,Data Scientist,3.4577142885838184,8,1,0,1,8,0,2,1,1,0,2,3,3,1,Research & Science,1.6666666666666667,1.3333333333333333,4,2,11.45771428858382
Law,Composer,4.007630960919885,2,1,0,1,5,1,0,1,2,1,0,3,1,0,Public & Legal,0.6666666666666666,1.6666666666666667,2,2,9.007630960919885
Art,Surgeon,2.779036861294984,2,1,1,1,5,0,4,1,3,1,4,1,2,0,Other,3.6666666666666665,1.0,3,2,7.779036861294983
Chemistry,Credit Analyst,3.725191045900511,0,1,0,0,0,0,1,1,3,2,1,2,1,0,Research & Science,1.6666666666666667,1.6666666666666667,1,1,3.725191045900511
Medicine,Architectural Technologist,2.761786924108472,4,2,0,0,8,1,0,0,3,0,0,1,0,1,Healthcare,1.0,0.3333333333333333,0,4,10.761786924108472
Physics,Musician,4.747765201610683,3,0,2,0,4,0,3,0,2,3,1,1,4,0,Research & Science,2.0,1.3333333333333333,4,2,8.747765201610683
Biology,Digital Marketing Specialist,2.710099430179324,1,0,2,0,1,1,4,0,2,0,4,2,3,1,Research & Science,3.3333333333333335,0.6666666666666666,3,4,3.710099430179324
Computer Science,Pharmacist,4.354340102404559,6,1,4,1,2,0,4,2,4,4,4,0,3,0,Technology,4.0,2.0,4,5,6.354340102404559
Finance,Brand Manager,3.2846253830164622,4,2,4,1,3,0,3,0,3,2,0,4,0,1,Other,2.0,2.0,1,7,6.284625383016462
Computer Science,Forensic Psychologist,4.398214309279543,3,1,2,0,1,1,2,2,1,4,2,0,0,0,Technology,1.6666666666666667,2.0,0,4,5.398214309279543
Physics,Paralegal,2.5278592838620693,0,2,1,0,4,1,2,3,3,1,3,2,0,1,Research & Science,2.6666666666666665,2.0,0,5,6.527859283862069
Education,AI Researcher,3.5404443546852304,4,0,4,1,4,1,3,0,2,1,0,1,1,1,Education,1.6666666666666667,0.6666666666666666,2,6,7.54044435468523
Finance,Nuclear Physicist,2.8660200022562545,7,1,0,1,5,0,2,3,4,0,4,0,3,0,Other,3.3333333333333335,1.0,4,1,7.8660200022562545
Psychology,Education Administrator,4.39605876838166,5,0,2,1,0,0,4,1,0,0,0,1,1,0,Other,1.3333333333333333,0.6666666666666666,2,2,4.39605876838166
Biology,Astronomer,2.6444823578665657,1,2,2,0,3,0,3,3,3,2,3,2,2,1,Research & Science,3.0,2.3333333333333335,2,5,5.644482357866566
Education,Judge,4.188112288234676,8,1,1,1,8,0,1,1,0,4,3,0,2,1,Education,1.3333333333333333,1.6666666666666667,3,3,12.188112288234677
Psychology,Art Therapist,3.998024682518506,1,2,2,0,9,1,4,4,0,0,0,3,1,0,Other,1.3333333333333333,2.3333333333333335,1,5,12.998024682518507
Business,Chemical Engineer,3.035984186210957,6,0,4,1,3,0,2,3,4,0,1,1,4,1,Management,2.3333333333333335,1.3333333333333333,5,5,6.035984186210957
Psychology,Biochemist,2.7839448775378632,8,1,0,0,2,0,2,0,3,1,4,0,2,0,Other,3.0,0.3333333333333333,2,1,4.783944877537863
Medicine,Accountant,3.90877561836218,8,0,1,1,5,1,4,2,0,1,0,3,1,0,Healthcare,1.3333333333333333,2.0,2,2,8.90877561836218
Computer Science,Game Developer,2.9924279898247392,0,1,0,0,0,0,4,1,3,1,0,2,2,1,Technology,2.3333333333333335,1.3333333333333333,2,2,2.9924279898247392
Finance,Biotechnologist,4.844512527439356,8,0,1,1,1,0,0,2,3,2,1,3,4,1,Other,1.3333333333333333,2.3333333333333335,5,2,5.844512527439356
Chemistry,Astronomer,3.3379897550813515,5,2,4,1,6,0,4,3,4,0,2,1,0,1,Research & Science,3.3333333333333335,1.3333333333333333,1,7,9.337989755081352
Finance,Surgeon,2.783352900465069,2,0,3,1,3,1,2,3,0,0,2,2,4,1,Other,1.3333333333333333,1.6666666666666667,5,5,5.783352900465069
Biology,Astronomer,2.622861281473437,9,1,4,1,1,1,0,1,4,4,3,4,0,1,Research & Science,2.3333333333333335,3.0,1,7,3.622861281473437
Education,Construction Manager,2.781265882135779,2,2,3,1,3,1,3,0,0,1,3,1,0,0,Education,2.0,0.6666666666666666,1,6,5.781265882135779
Law,Cybersecurity Analyst,2.7654851729430865,9,0,4,0,7,0,0,1,2,1,4,1,3,1,Public & Legal,2.0,1.0,3,5,9.765485172943087
Chemistry,Doctor,3.867606281858441,3,0,1,1,0,0,1,3,3,2,1,0,3,1,Research & Science,1.6666666666666667,1.6666666666666667,4,2,3.867606281858441
Medicine,Ecologist,4.83193846302337,9,1,3,0,4,0,1,2,0,4,4,1,2,0,Healthcare,1.6666666666666667,2.3333333333333335,2,4,8.83193846302337
Business,Legal Consultant,4.485336386279494,6,2,0,0,6,1,2,4,4,4,2,4,0,1,Management,2.6666666666666665,4.0,0,4,10.485336386279494
Art,Cybersecurity Analyst,4.043254358216744,6,2,0,1,8,1,1,4,3,0,4,4,3,1,Other,2.6666666666666665,2.6666666666666665,4,4,12.043254358216744
Music,Zoologist,2.6781269720412384,1,0,0,0,4,1,1,1,3,3,3,1,2,1,Other,2.3333333333333335,1.6666666666666667,2,2,6.678126972041238
Medicine,Clinical Psychologist,2.9082395736062203,8,0,3,0,7,0,1,3,2,4,1,3,0,0,Healthcare,1.3333333333333333,3.3333333333333335,0,3,9.90823957360622
Law,Nuclear Physicist,3.683956571798016,1,2,2,0,0,1,2,0,1,3,3,0,1,1,Public & Legal,2.0,1.0,1,6,3.683956571798016
Medicine,Legal Consultant,4.926189013307624,2,2,1,1,7,0,2,2,1,0,1,3,1,0,Healthcare,1.3333333333333333,1.6666666666666667,2,3,11.926189013307624
Architecture,Financial Advisor,3.678626669736639,5,2,2,0,0,0,1,1,1,0,1,3,0,1,Other,1.0,1.3333333333333333,0,5,3.678626669736639
Engineering,Chemist,2.5716787805283543,7,1,1,0,8,0,2,4,4,0,2,4,1,1,Other,2.6666666666666665,2.6666666666666665,1,3,10.571678780528355
Engineering,Fluid Mechanics Engineer,2.5771964819468334,5,0,0,1,4,1,2,3,1,2,0,3,0,0,Other,1.0,2.6666666666666665,1,1,6.577196481946833
Chemistry,Web Developer,4.437569977817091,8,0,0,1,0,0,1,4,2,3,1,4,4,1,Research & Science,1.3333333333333333,3.6666666666666665,5,1,4.437569977817091
Architecture,Biochemist,2.778560095451494,7,0,2,1,7,1,3,1,3,0,0,2,2,1,Other,2.0,1.0,3,4,9.778560095451494
Chemistry,Quantum Physicist,2.915454744725909,0,0,0,1,3,0,3,2,3,4,2,3,1,0,Research & Science,2.6666666666666665,3.0,2,0,5.915454744725909
Business,School Psychologist,2.69131863614963,4,2,1,0,4,0,4,2,2,4,1,4,3,1,Management,2.3333333333333335,3.3333333333333335,3,4,6.69131863614963
Biology,Electrical Engineer,4.604851688139418,8,2,4,1,4,1,2,1,4,0,0,0,0,0,Research & Science,2.0,0.3333333333333333,1,7,8.60485168813942
Law,Music Therapist,2.57138160202614,1,2,3,0,9,1,3,2,2,3,1,3,0,1,Public & Legal,2.0,2.6666666666666665,0,7,11.57138160202614
Biology,School Psychologist,3.682828466855909,4,2,1,0,7,0,4,2,2,1,0,1,1,0,Research & Science,2.0,1.3333333333333333,1,3,10.68282846685591
Biology,Lawyer,3.0858621037530214,9,1,2,1,5,1,4,4,0,0,2,1,1,0,Research & Science,2.0,1.6666666666666667,2,4,8.085862103753021
Art,Financial Analyst,3.125633021582566,0,0,2,0,9,1,2,3,1,1,0,0,0,1,Other,1.0,1.3333333333333333,0,4,12.125633021582566
Engineering,Urban Planner,2.5404646849453,2,1,1,0,0,0,0,4,1,3,2,1,2,1,Other,1.0,2.6666666666666665,2,3,2.5404646849453
Medicine,Marketing Manager,4.835258857420171,4,1,2,1,5,1,0,1,2,2,2,2,1,0,Healthcare,1.3333333333333333,1.6666666666666667,2,4,9.835258857420172
Chemistry,AI Researcher,4.314305622410641,2,1,2,1,0,1,4,3,4,3,1,2,2,1,Research & Science,3.0,2.6666666666666665,3,5,4.314305622410641
Marketing,Entrepreneur,4.688822004631292,4,0,2,0,5,1,2,0,3,2,0,3,3,0,Other,1.6666666666666667,1.6666666666666667,3,3,9.688822004631291
Architecture,Market Research Analyst,4.409721079038652,7,1,0,0,3,1,3,3,2,3,3,2,0,1,Other,2.6666666666666665,2.6666666666666665,0,3,7.409721079038652
Physics,Microbiologist,2.9233296867146774,8,2,3,0,6,0,3,0,3,4,1,4,0,0,Research & Science,2.3333333333333335,2.6666666666666665,0,5,8.923329686714677
Art,Education Administrator,4.442024981962126,0,0,1,1,8,0,0,0,3,2,0,1,2,0,Other,1.0,1.0,3,1,12.442024981962126
Medicine,Musician,4.168012041215073,5,2,3,0,2,1,1,4,0,1,2,1,3,1,Healthcare,1.0,2.0,3,7,6.168012041215073
Chemistry,Art Therapist,2.627122508290712,2,1,4,1,0,1,4,1,2,0,2,4,4,1,Research & Science,2.6666666666666665,1.6666666666666667,5,7,2.627122508290712
Education,Music Therapist,4.03782042271311,0,0,4,1,1,1,2,1,0,0,4,3,0,0,Education,2.0,1.3333333333333333,1,5,5.03782042271311
Chemistry,Investment Banker,3.045089573417952,4,0,3,0,6,0,0,0,3,4,1,0,2,0,Research & Science,1.3333333333333333,1.3333333333333333,2,3,9.045089573417952
Computer Science,Manager,2.6276293794687624,1,0,3,0,9,1,0,4,3,1,3,3,2,0,Technology,2.0,2.6666666666666665,2,4,11.627629379468763
Music,Artist,2.703851452403707,8,2,0,1,5,1,2,4,3,2,2,1,2,1,Other,2.3333333333333335,2.3333333333333335,3,4,7.703851452403708
Music,Counselor,3.3359371697169804,3,1,0,0,0,0,0,3,0,2,4,4,0,1,Other,1.3333333333333333,3.0,0,2,3.3359371697169804
Medicine,Sound Engineer,2.6787121711868043,1,0,1,0,0,1,0,1,1,4,3,2,0,1,Healthcare,1.3333333333333333,2.3333333333333335,0,3,2.6787121711868043
Music,Teacher,2.9068073054625714,4,1,2,1,6,1,2,4,0,2,0,1,4,0,Other,0.6666666666666666,2.3333333333333335,5,4,8.906807305462571
Medicine,Illustrator,2.825900133975352,2,2,4,0,6,0,2,3,0,3,3,4,0,0,Healthcare,1.6666666666666667,3.3333333333333335,0,6,8.825900133975352
Computer Science,Music Therapist,2.622637723229608,3,2,1,0,0,1,0,1,1,3,3,4,4,1,Technology,1.3333333333333333,2.6666666666666665,4,5,2.622637723229608
Engineering,Investment Banker,4.623611410316457,8,2,0,0,9,0,0,0,0,0,2,2,3,1,Other,0.6666666666666666,0.6666666666666666,3,3,13.623611410316457
Engineering,Advertising Manager,3.4463225289492625,9,0,3,1,6,1,3,1,1,4,3,1,1,0,Other,2.3333333333333335,2.0,2,4,9.446322528949263
Art,Investment Banker,3.692975872477642,6,0,3,0,1,1,4,3,4,1,4,3,3,0,Other,4.0,2.3333333333333335,3,4,4.692975872477642
Psychology,Acoustics Specialist,3.400247562278518,3,2,2,1,6,1,3,4,2,4,4,2,3,0,Other,3.0,3.3333333333333335,4,5,9.400247562278519
Architecture,Game Developer,2.9914636675825728,3,0,0,1,0,1,2,0,3,3,4,1,0,0,Other,3.0,1.3333333333333333,1,1,2.9914636675825728
Law,Art Therapist,2.804661999062492,8,0,1,0,7,0,0,3,0,2,1,2,3,1,Public & Legal,0.3333333333333333,2.3333333333333335,3,2,9.804661999062493
Art,Entrepreneur,4.5269297598206695,9,1,2,0,1,0,0,2,0,3,0,1,2,1,Other,0.0,2.0,2,4,5.5269297598206695
Biology,Graphic Designer,4.161023124539666,2,1,1,1,7,0,3,0,1,4,1,2,1,0,Research & Science,1.6666666666666667,2.0,2,2,11.161023124539666
Physics,Brand Manager,3.170031722357096,4,1,4,0,4,0,3,2,0,3,3,2,3,0,Research & Science,2.0,2.3333333333333335,3,5,7.170031722357097
Biology,Credit Analyst,2.770131550739889,9,1,4,0,9,0,4,4,4,1,2,3,1,1,Research & Science,3.3333333333333335,2.6666666666666665,1,6,11.770131550739888
Chemistry,School Counselor,3.0500964169670413,2,1,1,1,3,1,3,4,0,3,4,1,2,0,Research & Science,2.3333333333333335,2.6666666666666665,3,3,6.050096416967041
Architecture,School Psychologist,4.728465792188953,4,1,3,0,0,0,3,2,2,1,0,4,4,1,Other,1.6666666666666667,2.3333333333333335,4,5,4.728465792188953
Physics,Digital Marketing Specialist,3.887401805150441,0,0,4,1,6,1,0,4,3,0,0,4,1,1,Research & Science,1.0,2.6666666666666665,2,6,9.887401805150441
Computer Science,Biologist,3.08741692228316,1,0,0,0,9,0,3,1,2,0,0,0,2,1,Technology,1.6666666666666667,0.3333333333333333,2,1,12.08741692228316
Finance,Biotechnologist,4.975638099480433,0,0,0,0,0,0,0,1,4,0,0,2,0,0,Other,1.3333333333333333,1.0,0,0,4.975638099480433
Computer Science,Aerospace Engineer,4.67653939438553,4,0,3,0,6,0,4,1,1,3,1,0,0,1,Technology,2.0,1.3333333333333333,0,4,10.676539394385529
Architecture,AI Researcher,4.001118177677161,0,0,1,0,8,0,2,0,3,1,3,3,0,1,Other,2.6666666666666665,1.3333333333333333,0,2,12.00111817767716
Chemistry,School Counselor,3.524769765071881,9,2,1,1,8,0,3,0,3,1,3,3,4,1,Research & Science,3.0,1.3333333333333333,5,4,11.52476976507188
Chemistry,Legal Consultant,3.262513662998927,4,1,1,1,6,1,2,2,1,1,0,2,3,1,Research & Science,1.0,1.6666666666666667,4,4,9.262513662998927
Law,Quantum Physicist,3.71190706857937,5,0,3,1,1,1,4,3,2,3,1,1,0,0,Public & Legal,2.3333333333333335,2.3333333333333335,1,4,4.71190706857937
Law,Biotechnologist,3.8047056319759616,7,2,0,1,6,0,4,2,2,1,0,3,1,1,Public & Legal,2.0,2.0,2,3,9.804705631975962
Engineering,Brand Manager,2.725102260229672,7,0,3,0,0,1,3,0,1,3,1,4,3,1,Other,1.6666666666666667,2.3333333333333335,3,5,2.725102260229672
Business,Cybersecurity Analyst,4.488318764775559,2,1,4,1,8,1,0,3,1,3,4,2,4,0,Management,1.6666666666666667,2.6666666666666665,5,6,12.48831876477556
Business,Ecologist,3.127229057295807,9,2,0,1,1,0,1,0,3,1,1,3,2,1,Management,1.6666666666666667,1.3333333333333333,3,3,4.127229057295807
Education,Architectural Technologist,3.419757765395264,1,0,3,1,9,1,4,3,3,3,2,0,0,1,Education,3.0,2.0,1,5,12.419757765395264
Business,Financial Analyst,3.127728758692485,5,2,1,0,0,1,2,2,0,2,3,2,4,1,Management,1.6666666666666667,2.0,4,5,3.127728758692485
Music,Game Developer,2.7177472912971528,4,1,0,1,6,0,2,4,2,3,2,1,1,0,Other,2.0,2.6666666666666665,2,1,8.717747291297153
Law,School Counselor,4.837328887738797,2,1,0,1,5,1,0,2,2,2,2,2,4,0,Public & Legal,1.3333333333333333,2.0,5,2,9.837328887738797
Law,Mechanical Engineer,2.5025324336222434,9,1,0,1,3,1,1,1,4,2,1,2,3,0,Public & Legal,2.0,1.6666666666666667,4,2,5.502532433622243
Education,Art Therapist,2.736723536210897,2,0,4,0,8,1,3,0,1,3,1,1,2,0,Education,1.6666666666666667,1.3333333333333333,2,5,10.736723536210897
Biology,Forensic Psychologist,3.4410688844722817,8,0,4,0,6,0,4,4,3,4,4,3,4,1,Research & Science,3.6666666666666665,3.6666666666666665,4,5,9.441068884472282
Engineering,Marketing Manager,3.810389310132556,0,2,4,1,7,1,0,3,1,4,3,4,4,0,Other,1.3333333333333333,3.6666666666666665,5,7,10.810389310132557
Computer Science,Physical Chemist,3.4356870939174047,2,1,2,0,3,1,3,0,3,4,2,1,0,0,Technology,2.6666666666666665,1.6666666666666667,0,4,6.435687093917405
Engineering,Chemical Engineer,4.97267339604253,6,2,4,1,6,0,2,2,4,0,2,2,4,0,Other,2.6666666666666665,1.3333333333333333,5,6,10.97267339604253
Physics,Paralegal,3.365074460408863,3,2,3,1,4,1,4,2,1,3,2,0,2,0,Research & Science,2.3333333333333335,1.6666666666666667,3,6,7.365074460408863
Chemistry,Marketing Manager,4.878915643015513,0,1,2,0,3,1,3,1,2,0,2,0,2,0,Research & Science,2.3333333333333335,0.3333333333333333,2,4,7.878915643015513
Marketing,Music Therapist,3.305978335400421,7,0,4,1,9,0,0,0,1,2,0,2,0,1,Other,0.3333333333333333,1.3333333333333333,1,5,12.305978335400422
Biology,Curriculum Developer,4.006400185565216,5,2,0,1,8,1,0,3,4,4,4,3,3,1,Research & Science,2.6666666666666665,3.3333333333333335,4,4,12.006400185565216
Biology,School Psychologist,4.596094358889925,0,1,2,0,8,1,1,4,3,1,3,3,0,1,Research & Science,2.3333333333333335,2.6666666666666665,0,5,12.596094358889925
Medicine,Manager,3.5741798567577647,7,1,1,1,1,1,3,1,3,3,2,4,0,0,Healthcare,2.6666666666666665,2.6666666666666665,1,3,4.574179856757764
Computer Science,Teacher,4.262892730283696,1,0,4,1,9,1,1,1,2,3,1,2,4,1,Technology,1.3333333333333333,2.0,5,6,13.262892730283696
Finance,Cybersecurity Analyst,4.796971934737545,3,1,1,1,7,1,4,3,0,3,2,2,1,0,Other,2.0,2.6666666666666665,2,3,11.796971934737545
Medicine,Composer,2.681702146786765,2,2,4,0,8,0,0,2,0,4,1,4,1,0,Healthcare,0.3333333333333333,3.3333333333333335,1,6,10.681702146786765
Biology,Graphic Designer,3.324701308274175,6,1,0,1,1,0,4,0,3,0,0,4,3,1,Research & Science,2.3333333333333335,1.3333333333333333,4,2,4.324701308274175
Computer Science,Advertising Manager,3.642272789144628,2,2,0,0,0,1,3,1,0,0,1,4,2,0,Technology,1.3333333333333333,1.6666666666666667,2,3,3.642272789144628
Law,Biotechnologist,2.5341117243376488,8,0,0,0,4,1,3,0,3,3,1,4,1,1,Public & Legal,2.3333333333333335,2.3333333333333335,1,2,6.534111724337649
Music,Biochemist,4.716033052461078,1,1,1,0,9,1,1,1,1,4,1,2,4,0,Other,1.0,2.3333333333333335,4,3,13.716033052461079
Medicine,Software Developer,4.860463563862705,9,0,4,1,8,1,0,1,4,0,4,1,4,1,Healthcare,2.6666666666666665,0.6666666666666666,5,6,12.860463563862705
Education,Physical Chemist,4.478606322740145,6,2,0,0,0,1,3,3,0,4,3,4,2,1,Education,2.0,3.6666666666666665,2,4,4.478606322740145
Engineering,Mechanical Engineer,4.524656143015251,4,2,3,1,6,0,4,1,2,0,3,0,3,0,Other,3.0,0.3333333333333333,4,5,10.524656143015251
Law,Urban Planner,2.811385297608776,3,0,3,1,9,0,4,2,2,3,1,1,3,1,Public & Legal,2.3333333333333335,2.0,4,4,11.811385297608776
Art,Market Research Analyst,4.353747263251657,1,2,4,0,4,1,3,1,4,3,2,4,4,0,Other,3.0,2.6666666666666665,4,7,8.353747263251657
Education,AI Researcher,2.6667020504517858,6,2,2,0,5,1,0,4,2,3,1,1,1,0,Education,1.0,2.6666666666666665,1,5,7.666702050451786
Engineering,Doctor,3.8120140188279774,7,2,2,0,4,1,1,2,4,1,3,0,3,1,Other,2.6666666666666665,1.0,3,6,7.812014018827977
Architecture,Entrepreneur,4.538636353064421,6,1,2,1,4,0,4,1,3,2,4,0,4,0,Other,3.6666666666666665,1.0,5,3,8.53863635306442
Biology,Physical Chemist,3.2986611799845647,2,0,4,0,8,0,2,0,1,1,3,2,0,1,Research & Science,2.0,1.0,0,5,11.298661179984565
Physics,Biomedical Engineer,4.321977681451022,8,1,3,1,2,1,1,3,3,2,0,4,2,0,Research & Science,1.3333333333333333,3.0,3,5,6.321977681451022
Education,Legal Secretary,3.5916616074199945,3,1,0,0,9,1,2,1,3,1,3,1,3,1,Education,2.6666666666666665,1.0,3,3,12.591661607419994
Physics,Judge,3.8082190742114186,5,2,1,1,9,0,2,2,1,1,0,2,4,0,Research & Science,1.0,1.6666666666666667,5,3,12.808219074211419
Business,Principal,4.247922210000045,6,0,2,0,8,0,1,1,1,2,4,1,2,1,Management,2.0,1.3333333333333333,2,3,12.247922210000045
Psychology,Counselor,4.3011538216577145,9,1,0,1,1,0,2,1,0,3,1,1,1,0,Other,1.0,1.6666666666666667,2,1,5.3011538216577145
Computer Science,Graphic Designer,2.5351529480638515,9,1,3,1,9,1,3,4,1,3,1,3,2,1,Technology,1.6666666666666667,3.3333333333333335,3,6,11.535152948063851
Law,Geneticist,2.6192774080773806,1,1,2,0,7,1,0,2,2,2,1,3,2,0,Public & Legal,1.0,2.3333333333333335,2,4,9.61927740807738
Medicine,Psychologist,4.550364327516876,8,1,3,1,9,1,0,2,0,4,4,0,0,1,Healthcare,1.3333333333333333,2.0,1,6,13.550364327516876
Medicine,Curriculum Developer,4.18784055020104,3,2,1,1,8,0,0,2,0,4,1,0,3,0,Healthcare,0.3333333333333333,2.0,4,3,12.18784055020104
Computer Science,Musician,2.7760514895619823,9,0,0,0,8,0,2,1,0,3,3,1,0,0,Technology,1.6666666666666667,1.6666666666666667,0,0,10.776051489561983
Law,School Counselor,4.078044504642016,7,2,4,0,5,0,1,4,1,0,3,2,3,1,Public & Legal,1.6666666666666667,2.0,3,7,9.078044504642016
Engineering,Architect,4.001110249803183,2,2,0,1,7,1,4,1,3,3,2,0,2,0,Other,3.0,1.3333333333333333,3,3,11.001110249803183
Architecture,Mechanical Engineer,2.6684324758696008,6,1,3,1,2,1,3,2,3,3,4,0,0,1,Other,3.3333333333333335,1.6666666666666667,1,6,4.668432475869601
Finance,Advertising Manager,3.114988257715787,0,1,1,0,5,1,0,3,2,4,0,3,3,0,Other,0.6666666666666666,3.3333333333333335,3,3,8.114988257715787
Marketing,Artist,4.025171021755094,2,2,4,1,1,0,0,1,2,2,2,3,3,1,Other,1.3333333333333333,2.0,4,7,5.025171021755094
Education,Quantum Physicist,4.403453179910224,5,2,4,0,9,1,4,0,1,1,0,4,0,1,Education,1.6666666666666667,1.6666666666666667,0,8,13.403453179910224
Engineering,Social Media Manager,2.587981138447373,3,2,1,1,1,0,0,3,0,0,1,2,3,0,Other,0.3333333333333333,1.6666666666666667,4,3,3.587981138447373
Law,Physician Assistant,2.5086755790330164,0,1,0,1,8,0,0,3,4,3,2,3,4,1,Public & Legal,2.0,3.0,5,2,10.508675579033017
Education,Geneticist,3.870184755802179,3,2,4,1,2,0,1,0,1,2,2,4,3,1,Education,1.3333333333333333,2.0,4,7,5.870184755802179
Computer Science,Geneticist,2.5006980183596994,1,2,4,0,8,0,3,1,2,1,0,3,1,0,Technology,1.6666666666666667,1.6666666666666667,1,6,10.5006980183597
Architecture,Physical Chemist,4.858354003309992,8,0,0,1,6,1,3,1,3,4,3,3,1,0,Other,3.0,2.6666666666666665,2,1,10.85835400330999
Music,Physicist,3.0884519046134544,5,1,3,0,1,1,0,2,0,2,2,4,2,1,Other,0.6666666666666666,2.6666666666666665,2,6,4.088451904613454
Computer Science,Psychologist,4.341758698127137,9,1,4,1,6,1,4,3,3,2,3,2,3,0,Technology,3.3333333333333335,2.3333333333333335,4,6,10.341758698127137
Music,Analytical Chemist,4.155303492922362,8,2,1,1,8,1,3,3,0,2,1,0,4,0,Other,1.3333333333333333,1.6666666666666667,5,4,12.15530349292236
Marketing,AI Researcher,3.321148029363876,9,0,2,1,8,0,4,1,4,1,1,1,0,0,Other,3.0,1.0,1,2,11.321148029363876
Business,School Psychologist,2.8400000127518794,1,2,1,1,4,0,1,4,2,3,0,4,2,0,Management,1.0,3.6666666666666665,3,3,6.840000012751879
Computer Science,Social Media Manager,3.936863034531653,6,2,2,1,4,1,3,0,1,1,1,0,4,1,Technology,1.6666666666666667,0.3333333333333333,5,6,7.936863034531653
Art,Organic Chemist,4.020483917041869,9,1,3,1,5,0,3,4,0,4,0,0,4,1,Other,1.0,2.6666666666666665,5,5,9.020483917041869
Physics,Doctor,4.254816761388152,1,1,2,0,5,0,1,0,1,1,0,2,2,1,Research & Science,0.6666666666666666,1.0,2,4,9.254816761388152
Finance,Nurse,4.0904640198213045,7,0,3,0,8,0,0,2,2,3,1,3,0,1,Other,1.0,2.6666666666666665,0,4,12.090464019821304
Computer Science,Pharmacist,3.886884992396325,9,2,0,1,4,1,0,4,4,4,4,2,0,0,Technology,2.6666666666666665,3.3333333333333335,1,3,7.886884992396325
Marketing,Special Education Teacher,3.770226300730683,8,1,0,1,3,1,0,1,3,0,4,4,0,1,Other,2.3333333333333335,1.6666666666666667,1,3,6.770226300730683
Architecture,Physician Assistant,2.7284643987240287,1,2,2,0,2,1,1,3,2,2,4,1,1,0,Other,2.3333333333333335,2.0,1,5,4.728464398724029
Engineering,Lawyer,3.158817426523358,4,2,3,0,9,1,1,1,2,0,3,4,1,1,Other,2.0,1.6666666666666667,1,7,12.158817426523358
Computer Science,School Psychologist,3.0047298500129864,1,1,3,0,7,1,3,1,4,1,1,4,3,1,Technology,2.6666666666666665,2.0,3,6,10.004729850012986
